run_id,series_id,family,track,seed,trajectory,checkpoint,vus_pr,auprc,vus_roc,auroc,score_sha256,data_sha256,config_sha256,vendor_sha
001_NAB_id_1_Facility_tr_1007_1st_2014__seed_2027__OFFICIAL__BEST,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,U,2027,OFFICIAL,BEST,0.8543104140487928,0.89050064833046,0.9875916355130828,0.9902465169519931,077a8872189d041210cae2be8bb6f34a90da60cf4daa938c5fd350e638dff6d2,e3e67660bbaa840ef24e70b38f0b384d41c7e2bce71bf0edbab65565a40a7584,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
001_NAB_id_1_Facility_tr_1007_1st_2014__seed_2027__OFFICIAL__LAST,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,U,2027,OFFICIAL,LAST,0.9103884393884261,0.9259409676898271,0.9930309129592977,0.993700315577114,9af206ed46dca039a0e03c54800d4379657f5a0102e6d4b3be49bfd450a2c544,e3e67660bbaa840ef24e70b38f0b384d41c7e2bce71bf0edbab65565a40a7584,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
001_NAB_id_1_Facility_tr_1007_1st_2014__seed_2027__PAPERNEG_NONOVERLAP__BEST,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,U,2027,PAPERNEG_NONOVERLAP,BEST,0.9043338875059782,0.9213967289518727,0.992541450754511,0.9932473454209697,2e967c4e9111f4be00dc358e0373f9d27f584d682ec2fe341819cd9568f3468e,e3e67660bbaa840ef24e70b38f0b384d41c7e2bce71bf0edbab65565a40a7584,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
001_NAB_id_1_Facility_tr_1007_1st_2014__seed_2027__PAPERNEG_NONOVERLAP__LAST,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,U,2027,PAPERNEG_NONOVERLAP,LAST,0.9100568867264052,0.9258253178517544,0.992995324137068,0.9936528841471512,527518a4f8527fee01a58f10142ee9f97b1d3b0282507e8f220347fdfcc62892,e3e67660bbaa840ef24e70b38f0b384d41c7e2bce71bf0edbab65565a40a7584,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
001_NAB_id_1_Facility_tr_1007_1st_2014__seed_2027__PAPERNEG__BEST,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,U,2027,PAPERNEG,BEST,0.8566029288374551,0.8923329672564124,0.9877982537615594,0.9904670731013199,901558a6a4b9f59bbc663069382b4be4dab965141b4f1c099b60709f64da39a0,e3e67660bbaa840ef24e70b38f0b384d41c7e2bce71bf0edbab65565a40a7584,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
001_NAB_id_1_Facility_tr_1007_1st_2014__seed_2027__PAPERNEG__LAST,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,U,2027,PAPERNEG,LAST,0.9120843120013913,0.9278532000424566,0.9931903683025424,0.9938892507731323,972d6e8633f7c0b4c895a47d2be6f0dd4d382b9240d918ca8c04b9dd9aef0d29,e3e67660bbaa840ef24e70b38f0b384d41c7e2bce71bf0edbab65565a40a7584,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
001_NAB_id_1_Facility_tr_1007_1st_2014__seed_2027__RAND_BN__BN_CALIBRATED,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,U,2027,RAND_BN,BN_CALIBRATED,0.8565060553964748,0.8913232977428089,0.9871948464090797,0.989130297300203,4d43d106607efe186cedb88e5d16ba0b6a461070857a7bf813dc1e709ae36454,e3e67660bbaa840ef24e70b38f0b384d41c7e2bce71bf0edbab65565a40a7584,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__OFFICIAL__BEST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,OFFICIAL,BEST,0.4208203340726381,0.5021476461230123,0.8997816988898374,0.956704504739415,914f07de7ae95b310b3c09ed4ca2bd810fd8f71fc29b8618e0a14ac993bbb48a,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__OFFICIAL__LAST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,OFFICIAL,LAST,0.16160348984245124,0.20027628613378387,0.8386002263735708,0.9120599911510519,be9ad4e3af067868d53da74723c685adbe1d3ee0df20e3b6f2dc7e69c4185ff0,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__PAPERNEG_NONOVERLAP__BEST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,PAPERNEG_NONOVERLAP,BEST,0.3481104391210325,0.4144050685611074,0.90200783978324,0.9558847577504801,f0101d77c57bb5c240fb309fcf7722279e9a30f0b71c9af80650a27e4e2e399b,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__PAPERNEG_NONOVERLAP__LAST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,PAPERNEG_NONOVERLAP,LAST,0.14414835392138012,0.17622786058988524,0.8316489365089531,0.8993650895605363,a9d175795b77ccc23ed1d786ab51f0adfa88264176cc32a1cb6ba5887838d2a1,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__PAPERNEG__BEST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,PAPERNEG,BEST,0.39732282099744404,0.4697488667749534,0.902544555797954,0.9570409624059959,2cb9634ddc1859e0295ca3b72eae97efad9358a2533f94e38f53876ed32ffd34,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
057_SMD_id_1_Facility_tr_4529_1st_4629__seed_2027__PAPERNEG__LAST,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,M,2027,PAPERNEG,LAST,0.15559944660593536,0.19395938386583403,0.832153778028977,0.9071814346771665,46582cf1634bf8c377f97efa5d8552e62516e71817a2eada64ec9498b9ee2a29,1679708d35fe5fae0d3592b429c0f0970ef36f3e95e686e0a2dda03f619dcc75,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
