series_id,family,subgroup,panel,arm,canonical_arm,is_alias,score_path,score_sha256,manifest_path,manifest_sha256,score_length,common_valid
MSL__C-1,NASA,NASA-MSL,full,IHP1_NCTP1,FINAL_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\FINAL_DEFAULT\score.npy,918EF466ED15F7C8FDAF0787B6F66F843FD8175305B8CFCB8B4A5E473EDA82C7,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\IHP1_NCTP1\alias_manifest.json,CBC9539A41F7B4A860639A9FEC10AFC2C173575A02A717B296415C1603423DFC,4422,True
MSL__C-1,NASA,NASA-MSL,ihp,IHP1_NCTP0,IHP1_NCTP0,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\IHP1_NCTP0\score.npy,FF7AD5A9D94463D8B1081AAB6A14BBC9293E45A53E17E3E2AF95395BD9DBB1DA,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\IHP1_NCTP0\score_manifest.json,75458284C900567A795A3387FE8569D1999768BD5B1DD659694A18EDA9D5CF92,4422,True
MSL__C-1,NASA,NASA-MSL,rel,IHP0_NCTP0,LEGACY_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\LEGACY_DEFAULT\score.npy,2FDAE7011AF382FCE7340CE8E4B146CC60291C8CBCD154B2A5CD518530CE0077,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\IHP0_NCTP0\alias_manifest.json,032F7CDA4E8FD94E782672FFE226C4B0A2CD35DEE7BF4E88B49113BC49186B94,4422,True
MSL__C-1,NASA,NASA-MSL,rel_nctp,IHP0_NCTP1,IHP0_NCTP1,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\IHP0_NCTP1\score.npy,77271162E849AAFCC6BC685029CD35C4D3816D06E549BE1656CE1C28979A4262,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-1\IHP0_NCTP1\score_manifest.json,A2E3236B1656F462BE7EE464F89320A8FCF0A1DD0CF6839F03D4073AE079ED00,4422,True
MSL__C-2,NASA,NASA-MSL,full,IHP1_NCTP1,FINAL_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\FINAL_DEFAULT\score.npy,4AAB6080FF684F7564FBBE6D0A0F379660C4C848440030783F1A8E8563DA7444,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\IHP1_NCTP1\alias_manifest.json,8957EFE79C0529697C000156916B6572FF0B2E1BCE384BEA3EB21C1EA8748522,2815,True
MSL__C-2,NASA,NASA-MSL,ihp,IHP1_NCTP0,IHP1_NCTP0,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\IHP1_NCTP0\score.npy,0747B9C7FBB9BA9444A378EC22F968F1D9D6E03428486DC1FA100D64DFE02BDF,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\IHP1_NCTP0\score_manifest.json,AAFA1868659A18FFEE67DC2CF0CDD663D2AD76138D026283001C6F9F3036450D,2815,True
MSL__C-2,NASA,NASA-MSL,rel,IHP0_NCTP0,LEGACY_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\LEGACY_DEFAULT\score.npy,05574793579C571595E967D1540F947B83E9597F1839872052956D1E3921FB39,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\IHP0_NCTP0\alias_manifest.json,D7B7FFC03CE342DBABB0ECE2A6B2657E2AD1D91DC37F3FC6852A5D6A86DD57D9,2815,True
MSL__C-2,NASA,NASA-MSL,rel_nctp,IHP0_NCTP1,IHP0_NCTP1,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\IHP0_NCTP1\score.npy,F458129069708E47374991C25E6EE1E85E6618EBD870FDF6A9F33ED6114CCFD8,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__C-2\IHP0_NCTP1\score_manifest.json,88F6363724B2317594AE0CD2642B83AD5E2F676C56D7647811A3AC01EFD4DF15,2815,True
MSL__D-14,NASA,NASA-MSL,full,IHP1_NCTP1,FINAL_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\FINAL_DEFAULT\score.npy,AE272A0A1DC9622B2480DEBC5BBF8F98FCD00E5E26835A2DBE5826A7BE655574,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\IHP1_NCTP1\alias_manifest.json,A017A4AF304E483A9CBCF4A126DF414542B0B02A4ED213676F6DDCDDB4CDBFC7,6300,True
MSL__D-14,NASA,NASA-MSL,ihp,IHP1_NCTP0,IHP1_NCTP0,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\IHP1_NCTP0\score.npy,19E3CDADB668EAA55D05C9D0A26EAB20D697C002D920628B4626473C45B161E0,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\IHP1_NCTP0\score_manifest.json,575B06C353F8586F716272163AD9BE0E0A8D684B8F309060808AE89B55F2BAF2,6300,True
MSL__D-14,NASA,NASA-MSL,rel,IHP0_NCTP0,LEGACY_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\LEGACY_DEFAULT\score.npy,E28EDF872CE31139B1171D7CAFD0255DDA9DE355681AFCEBB28A7821ED018B9F,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\IHP0_NCTP0\alias_manifest.json,A330D93A69E48FAD209127E824237D115B9CE75C1EEA23D14FC666FF28086D06,6300,True
MSL__D-14,NASA,NASA-MSL,rel_nctp,IHP0_NCTP1,IHP0_NCTP1,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\IHP0_NCTP1\score.npy,3B81302964D00FBF1AA15357331FABA346F0EA05450BE162BD166A48CF6A1487,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-14\IHP0_NCTP1\score_manifest.json,840BD10410DD700C7A7F86A3A3F72C19E2A8BA3D47AAA84A0DFBFCA6EDF82611,6300,True
MSL__D-15,NASA,NASA-MSL,full,IHP1_NCTP1,FINAL_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\FINAL_DEFAULT\score.npy,7DEF82D11DC627D4C36F8FB866259BA0CF64DF7DB2678D2D311610BEB2FB9F01,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\IHP1_NCTP1\alias_manifest.json,C14B2B6EB9F249FCEF9F00839D8DB6B6D0F2CBEE3F245E9B8491C7017078B2D2,4232,True
MSL__D-15,NASA,NASA-MSL,ihp,IHP1_NCTP0,IHP1_NCTP0,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\IHP1_NCTP0\score.npy,CACBF894380312ED12CEB48E2196AF3059220C7228DDC2E765BE3ADBBC30D50B,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\IHP1_NCTP0\score_manifest.json,FFF6ABABFE901499986A0E046241B0CFD0CD5476FB9E9674AFAF270FD661B056,4232,True
MSL__D-15,NASA,NASA-MSL,rel,IHP0_NCTP0,LEGACY_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\LEGACY_DEFAULT\score.npy,9ED4F0EFCB7FFB06F667C78254F027771D97B0FAB42450696A7BC1EF14DBD0AE,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\IHP0_NCTP0\alias_manifest.json,C8DBE8691E33A01D5ACDD94FC125D5702475441A31306650996ECB1072E1CE39,4232,True
MSL__D-15,NASA,NASA-MSL,rel_nctp,IHP0_NCTP1,IHP0_NCTP1,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\IHP0_NCTP1\score.npy,D17E5FB883F9282CFE0441CCB7B1179303511361480CE6B3890324BB27607CBD,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-15\IHP0_NCTP1\score_manifest.json,39A004484A801B5E90453C897703FA5CFCAD013D7BE55DE83999895961B997E1,4232,True
MSL__D-16,NASA,NASA-MSL,full,IHP1_NCTP1,FINAL_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-16\FINAL_DEFAULT\score.npy,E980D2392CA2E390FA16955864EAFDF90BE18569072DEED6B652F9F7E372A6DE,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-16\IHP1_NCTP1\alias_manifest.json,54443E31A349A3AF0F13BD63AFCC2CB8F558D79133F8D1D51659500E2324BD40,3642,True
MSL__D-16,NASA,NASA-MSL,ihp,IHP1_NCTP0,IHP1_NCTP0,False,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-16\IHP1_NCTP0\score.npy,27FD957C792770FB7A37E10319681C96B2BC1D001F3F5E6598A618718A746F5B,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-16\IHP1_NCTP0\score_manifest.json,3952898A648F487533E8E6EC4D18FAAAF7F6C17BA2D54995ADA56C15C4B462A0,3642,True
MSL__D-16,NASA,NASA-MSL,rel,IHP0_NCTP0,LEGACY_DEFAULT,True,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-16\LEGACY_DEFAULT\score.npy,4FC4BCAC14DB407180C8D2E3F2B3FA14E7E2014710080B4A62656FB9A8A908D8,D:\qintian_experiments\ViTTrace_ablation_full_v3_20260718_193834\runs\cache_only_b16_w240_s60\MSL__D-16\IHP0_NCTP0\alias_manifest.json,A6367FB7521467C69A11B994691301F403619F230E409C13F4D55A17951FE797,3642,True
