arm,source_arm,stage_id,stage_group,stage_kind,configuration_id,arm_role,arm_order,experiment_group,changed_factor,display_name,is_final,fixed_factors_json,arm_metadata_json,backbone,representation,window,stride,patch_size,patch_grid,matching_scope,memory,scale_subset,incidence,temporal,reducer_family,reducer_setting,ihp,nctp,encoder_calls,elapsed_seconds_per_series,fp_threshold
FINAL_DEFAULT,FINAL_DEFAULT,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,method,0,DEFAULT,DEFAULT,FINAL_DEFAULT,True,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""FINAL_DEFAULT"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": true, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",global,median_reference,"[""P"", ""M"", ""L""]",literal,nctp_linear,,,literal,True,0,,0.0
MATCH_FINAL_POSITION,MATCH_FINAL_POSITION,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,ablation,1,MATCHING_FINAL,MATCHING_FINAL,MATCH_FINAL_POSITION,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""MATCH_FINAL_POSITION"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""position"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",position,median_reference,"[""P"", ""M"", ""L""]",literal,nctp_linear,,,literal,True,0,,0.0
MATCH_FINAL_ROW,MATCH_FINAL_ROW,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,ablation,2,MATCHING_FINAL,MATCHING_FINAL,MATCH_FINAL_ROW,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""MATCH_FINAL_ROW"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""row"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",row,median_reference,"[""P"", ""M"", ""L""]",literal,nctp_linear,,,literal,True,0,,0.0
SCALE_P,SCALE_P,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,ablation,3,SCALE_SUBSET,SCALE_SUBSET,SCALE_P,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""SCALE_P"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",global,median_reference,"[""P""]",literal,nctp_linear,,,literal,True,0,,0.0
IHP0_NCTP0,IHP0_NCTP0,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,ablation,4,IHP_X_NCTP,IHP_X_NCTP,IHP0_NCTP0,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""IHP0_NCTP0"", ""fusion"": ""legacy_intersection"", ""incidence"": ""released"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": ""top_fraction"", ""reducer_value"": 0.25, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""legacy"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",global,median_reference,"[""P"", ""M"", ""L""]",released,legacy,top_fraction,0.25,released,False,0,,0.0
IHP1_NCTP0,IHP1_NCTP0,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,ablation,5,IHP_X_NCTP,IHP_X_NCTP,IHP1_NCTP0,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""IHP1_NCTP0"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": ""top_fraction"", ""reducer_value"": 0.25, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""legacy"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",global,median_reference,"[""P"", ""M"", ""L""]",literal,legacy,top_fraction,0.25,literal,False,0,,0.0
IHP0_NCTP1,IHP0_NCTP1,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,ablation,6,IHP_X_NCTP,IHP_X_NCTP,IHP0_NCTP1,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""IHP0_NCTP1"", ""fusion"": ""legacy_intersection"", ""incidence"": ""released"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",global,median_reference,"[""P"", ""M"", ""L""]",released,nctp_linear,,,released,True,0,,0.0
IHP1_NCTP1,IHP1_NCTP1,CACHE_ONLY_B16_W240_S60,cache_only_controls,cache_only,CACHE_B16_W240_S60,ablation,7,IHP_X_NCTP,IHP_X_NCTP,IHP1_NCTP1,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""IHP1_NCTP1"", ""fusion"": ""active_valid"", ""incidence"": ""literal"", ""is_final"": false, ""matching_scope"": ""global"", ""memory"": ""median_reference"", ""model_name"": ""ViT-B-16"", ""patch_grid"": [14, 14], ""reducer_kind"": null, ""reducer_value"": null, ""scales"": [""P"", ""M"", ""L""], ""stride"": 60, ""temporal"": ""nctp_linear"", ""window"": 240}",ViT-B-16,line,240,60,,"[14, 14]",global,median_reference,"[""P"", ""M"", ""L""]",literal,nctp_linear,,,literal,True,0,,0.0
CTRL_CLS_LEGACY,CTRL_CLS_LEGACY,ENCODER_CONTROLS_B16_W240_S60,encoder_controls,encoder_controls,ENCODER_B16_W240_S60,inherited_control,8,PATCH_EMBEDDING,PATCH_EMBEDDING,CTRL_CLS_LEGACY,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""CTRL_CLS_LEGACY"", ""embedding"": ""true_global"", ""encoder_calls"": 0, ""ihp"": ""bypassed"", ""is_final"": false, ""model_key"": ""B16"", ""nctp"": ""bypassed"", ""representation"": ""line"", ""stride"": 60, ""window"": 240}",B16,line,240,60,,,,,,,,,,bypassed,bypassed,0,,0.0
CTRL_CLS_NATIVE_W240,CTRL_CLS_NATIVE_W240,ENCODER_CONTROLS_B16_W240_S60,encoder_controls,encoder_controls,ENCODER_B16_W240_S60,inherited_control,9,PATCH_EMBEDDING,PATCH_EMBEDDING,CTRL_CLS_NATIVE_W240,False,"{""metrics_mask"": ""COMMON_488"", ""protocol"": ""VLM4TS_492""}","{""display_name"": ""CTRL_CLS_NATIVE_W240"", ""embedding"": ""true_global"", ""encoder_calls"": 0, ""ihp"": ""bypassed"", ""is_final"": false, ""model_key"": ""B16"", ""nctp"": ""bypassed"", ""representation"": ""line"", ""stride"": 60, ""window"": 240}",B16,line,240,60,,,,,,,,,,bypassed,bypassed,0,,0.0
