contrast_id,contrast_family,candidate,control,metric,delta,ci_lower,ci_upper,n_boot,seed,shared_indices,resample_plan_sha256,valid_mask_sha256,n_valid_series,n_subgroups,resampling_unit
IHP_ONLY_VS_REL,IHP_X_NCTP,IHP1_NCTP0,IHP0_NCTP0,f1_max,0.026802777381709296,-0.0020969013561841212,0.06978026241764611,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
NCTP_ONLY_VS_REL,IHP_X_NCTP,IHP0_NCTP1,IHP0_NCTP0,f1_max,0.04112852089515298,0.0013410581694484887,0.09162149110681432,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
FULL_VS_REL,IHP_X_NCTP,IHP1_NCTP1,IHP0_NCTP0,f1_max,0.046935453761624196,0.0012558148146433008,0.10057887186494015,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
FULL_VS_IHP_ONLY,IHP_X_NCTP,IHP1_NCTP1,IHP1_NCTP0,f1_max,0.020132676379914907,-0.0264559070506482,0.06311675459769646,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
IHP_ONLY_VS_REL,IHP_X_NCTP,IHP1_NCTP0,IHP0_NCTP0,auprc,0.022083530901081023,0.006364694223867916,0.040720819477731526,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
NCTP_ONLY_VS_REL,IHP_X_NCTP,IHP0_NCTP1,IHP0_NCTP0,auprc,0.038602100815209456,0.00030750020796480634,0.07769254206141785,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
FULL_VS_REL,IHP_X_NCTP,IHP1_NCTP1,IHP0_NCTP0,auprc,0.044834768633760756,0.011951352271293214,0.0789018879515374,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
FULL_VS_IHP_ONLY,IHP_X_NCTP,IHP1_NCTP1,IHP1_NCTP0,auprc,0.02275123773267972,-0.02221583549995748,0.06598487229009838,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
IHP_ONLY_VS_REL,IHP_X_NCTP,IHP1_NCTP0,IHP0_NCTP0,vus_pr,0.010156479246117374,0.002035060676323555,0.019969690940588283,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
NCTP_ONLY_VS_REL,IHP_X_NCTP,IHP0_NCTP1,IHP0_NCTP0,vus_pr,0.0198321870795965,0.004485159630247124,0.03788529058725715,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
FULL_VS_REL,IHP_X_NCTP,IHP1_NCTP1,IHP0_NCTP0,vus_pr,0.026722366253594153,0.009772572886532938,0.04565803930919457,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
FULL_VS_IHP_ONLY,IHP_X_NCTP,IHP1_NCTP1,IHP1_NCTP0,vus_pr,0.01656588700747677,0.002883226775342142,0.032270331177467006,10000,2027,True,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,A4DB6A33860F1208385A997A06CEDE0D80A2F9E928678929CA21E56AC08FE5A4,488,11,11_subgroups_then_paired_series
