aggregation,family,subgroup,arm,metric,value,n_valid,n_total
equal11,ALL,ALL,FINAL_DEFAULT,f1_max,0.6881923989504309,11,11
equal11,ALL,ALL,FINAL_DEFAULT,auprc,0.34502567412838203,11,11
equal11,ALL,ALL,FINAL_DEFAULT,vus_pr,0.7212461282004591,11,11
equal11,ALL,ALL,FINAL_DEFAULT,anomaly_free_fp_rate,1.0,2,11
equal11,ALL,ALL,FINAL_DEFAULT,anomaly_free_fp_count,2731.1666666666665,2,11
equal11,ALL,ALL,FINAL_DEFAULT,anomaly_free_mean_excess,0.0282597342646706,2,11
equal11,ALL,ALL,FINAL_DEFAULT,anomaly_free_score_p95,0.05940372592565786,2,11
equal11,ALL,ALL,MATCH_FINAL_POSITION,f1_max,0.6245312074078211,11,11
equal11,ALL,ALL,MATCH_FINAL_POSITION,auprc,0.3095857471343592,11,11
equal11,ALL,ALL,MATCH_FINAL_POSITION,vus_pr,0.6976644852508233,11,11
equal11,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_rate,1.0,2,11
equal11,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_count,2731.1666666666665,2,11
equal11,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_mean_excess,0.03841900520541672,2,11
equal11,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_score_p95,0.09011029391156092,2,11
equal11,ALL,ALL,MATCH_FINAL_ROW,f1_max,0.6418384992291606,11,11
equal11,ALL,ALL,MATCH_FINAL_ROW,auprc,0.33064758704456704,11,11
equal11,ALL,ALL,MATCH_FINAL_ROW,vus_pr,0.7091559094143651,11,11
equal11,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_fp_rate,1.0,2,11
equal11,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_fp_count,2731.1666666666665,2,11
equal11,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_mean_excess,0.032504093949186914,2,11
equal11,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_score_p95,0.06988986049465191,2,11
equal11,ALL,ALL,SCALE_P,f1_max,0.6770315509231007,11,11
equal11,ALL,ALL,SCALE_P,auprc,0.3055630915714154,11,11
equal11,ALL,ALL,SCALE_P,vus_pr,0.7011139741639691,11,11
equal11,ALL,ALL,SCALE_P,anomaly_free_fp_rate,1.0,2,11
equal11,ALL,ALL,SCALE_P,anomaly_free_fp_count,2731.1666666666665,2,11
equal11,ALL,ALL,SCALE_P,anomaly_free_mean_excess,0.043276688197151116,2,11
equal11,ALL,ALL,SCALE_P,anomaly_free_score_p95,0.09837978767851985,2,11
equal11,ALL,ALL,IHP0_NCTP0,f1_max,0.6412569451888068,11,11
equal11,ALL,ALL,IHP0_NCTP0,auprc,0.3001909054946213,11,11
equal11,ALL,ALL,IHP0_NCTP0,vus_pr,0.6945237619468648,11,11
equal11,ALL,ALL,IHP0_NCTP0,anomaly_free_fp_rate,1.0,2,11
equal11,ALL,ALL,IHP0_NCTP0,anomaly_free_fp_count,2731.1666666666665,2,11
equal11,ALL,ALL,IHP0_NCTP0,anomaly_free_mean_excess,0.038755236505641985,2,11
