aggregation,family,subgroup,arm,metric,value,n_valid,n_total
family3,NAB,ALL,FINAL_DEFAULT,f1_max,0.6822994723530438,5,5
family3,NAB,ALL,FINAL_DEFAULT,auprc,0.42467764466118635,5,5
family3,NAB,ALL,FINAL_DEFAULT,vus_pr,0.7345810327836894,5,5
family3,NAB,ALL,FINAL_DEFAULT,anomaly_free_fp_rate,1.0,1,5
family3,NAB,ALL,FINAL_DEFAULT,anomaly_free_fp_count,4032.0,1,5
family3,NAB,ALL,FINAL_DEFAULT,anomaly_free_mean_excess,0.0261992141821634,1,5
family3,NAB,ALL,FINAL_DEFAULT,anomaly_free_score_p95,0.0819331378236244,1,5
family3,NAB,ALL,MATCH_FINAL_POSITION,f1_max,0.64741385003885,5,5
family3,NAB,ALL,MATCH_FINAL_POSITION,auprc,0.4021310310386889,5,5
family3,NAB,ALL,MATCH_FINAL_POSITION,vus_pr,0.7175590383815893,5,5
family3,NAB,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_rate,1.0,1,5
family3,NAB,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_count,4032.0,1,5
family3,NAB,ALL,MATCH_FINAL_POSITION,anomaly_free_mean_excess,0.0331240785653265,1,5
family3,NAB,ALL,MATCH_FINAL_POSITION,anomaly_free_score_p95,0.1170256859499782,1,5
family3,NAB,ALL,MATCH_FINAL_ROW,f1_max,0.6814531024531023,5,5
family3,NAB,ALL,MATCH_FINAL_ROW,auprc,0.4139825927698329,5,5
family3,NAB,ALL,MATCH_FINAL_ROW,vus_pr,0.7338263753875391,5,5
family3,NAB,ALL,MATCH_FINAL_ROW,anomaly_free_fp_rate,1.0,1,5
family3,NAB,ALL,MATCH_FINAL_ROW,anomaly_free_fp_count,4032.0,1,5
family3,NAB,ALL,MATCH_FINAL_ROW,anomaly_free_mean_excess,0.0271517779024019,1,5
family3,NAB,ALL,MATCH_FINAL_ROW,anomaly_free_score_p95,0.0857029368719172,1,5
family3,NAB,ALL,SCALE_P,f1_max,0.6649454740394182,5,5
family3,NAB,ALL,SCALE_P,auprc,0.3661699822911585,5,5
family3,NAB,ALL,SCALE_P,vus_pr,0.7044071521962794,5,5
family3,NAB,ALL,SCALE_P,anomaly_free_fp_rate,1.0,1,5
family3,NAB,ALL,SCALE_P,anomaly_free_fp_count,4032.0,1,5
family3,NAB,ALL,SCALE_P,anomaly_free_mean_excess,0.0363956737746537,1,5
family3,NAB,ALL,SCALE_P,anomaly_free_score_p95,0.1351360976696014,1,5
family3,NAB,ALL,IHP0_NCTP0,f1_max,0.5944960974697817,5,5
family3,NAB,ALL,IHP0_NCTP0,auprc,0.3423997815878329,5,5
family3,NAB,ALL,IHP0_NCTP0,vus_pr,0.7055681386467796,5,5
family3,NAB,ALL,IHP0_NCTP0,anomaly_free_fp_rate,1.0,1,5
family3,NAB,ALL,IHP0_NCTP0,anomaly_free_fp_count,4032.0,1,5
family3,NAB,ALL,IHP0_NCTP0,anomaly_free_mean_excess,0.0376069665631122,1,5
family3,NAB,ALL,IHP0_NCTP0,anomaly_free_score_p95,0.0845236248566733,1,5
family3,NAB,ALL,IHP1_NCTP0,f1_max,0.6495468430205272,5,5
family3,NAB,ALL,IHP1_NCTP0,auprc,0.34500972827641085,5,5
