aggregation,family,subgroup,arm,metric,value,n_valid,n_total
fileweighted,ALL,ALL,FINAL_DEFAULT,f1_max,0.688329294934311,488,492
fileweighted,ALL,ALL,FINAL_DEFAULT,auprc,0.22599508338293203,488,492
fileweighted,ALL,ALL,FINAL_DEFAULT,vus_pr,0.7636901586836733,488,492
fileweighted,ALL,ALL,FINAL_DEFAULT,anomaly_free_fp_rate,1.0,4,492
fileweighted,ALL,ALL,FINAL_DEFAULT,anomaly_free_fp_count,2080.75,4,492
fileweighted,ALL,ALL,FINAL_DEFAULT,anomaly_free_mean_excess,0.029289994305924202,4,492
fileweighted,ALL,ALL,FINAL_DEFAULT,anomaly_free_score_p95,0.0481390199766746,4,492
fileweighted,ALL,ALL,MATCH_FINAL_POSITION,f1_max,0.5777475673005193,488,492
fileweighted,ALL,ALL,MATCH_FINAL_POSITION,auprc,0.1796104068625707,488,492
fileweighted,ALL,ALL,MATCH_FINAL_POSITION,vus_pr,0.73239411899008,488,492
fileweighted,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_rate,1.0,4,492
fileweighted,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_count,2080.75,4,492
fileweighted,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_mean_excess,0.04106646852546183,4,492
fileweighted,ALL,ALL,MATCH_FINAL_POSITION,anomaly_free_score_p95,0.07665259789235228,4,492
fileweighted,ALL,ALL,MATCH_FINAL_ROW,f1_max,0.5875261440456709,488,492
fileweighted,ALL,ALL,MATCH_FINAL_ROW,auprc,0.20747650854849145,488,492
fileweighted,ALL,ALL,MATCH_FINAL_ROW,vus_pr,0.7393414493782312,488,492
fileweighted,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_fp_rate,1.0,4,492
fileweighted,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_fp_count,2080.75,4,492
fileweighted,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_mean_excess,0.03518025197257942,4,492
fileweighted,ALL,ALL,MATCH_FINAL_ROW,anomaly_free_score_p95,0.06198332230601927,4,492
fileweighted,ALL,ALL,SCALE_P,f1_max,0.6862031134421473,488,492
fileweighted,ALL,ALL,SCALE_P,auprc,0.21405850841092108,488,492
fileweighted,ALL,ALL,SCALE_P,vus_pr,0.7542372567502116,488,492
fileweighted,ALL,ALL,SCALE_P,anomaly_free_fp_rate,1.0,4,492
fileweighted,ALL,ALL,SCALE_P,anomaly_free_fp_count,2080.75,4,492
fileweighted,ALL,ALL,SCALE_P,anomaly_free_mean_excess,0.046717195408399824,4,492
fileweighted,ALL,ALL,SCALE_P,anomaly_free_score_p95,0.08000163268297907,4,492
fileweighted,ALL,ALL,IHP0_NCTP0,f1_max,0.663640136434472,488,492
fileweighted,ALL,ALL,IHP0_NCTP0,auprc,0.21979188968816835,488,492
fileweighted,ALL,ALL,IHP0_NCTP0,vus_pr,0.7371412637379013,488,492
fileweighted,ALL,ALL,IHP0_NCTP0,anomaly_free_fp_rate,1.0,4,492
fileweighted,ALL,ALL,IHP0_NCTP0,anomaly_free_fp_count,2080.75,4,492
fileweighted,ALL,ALL,IHP0_NCTP0,anomaly_free_mean_excess,0.03932937147690687,4,492
fileweighted,ALL,ALL,IHP0_NCTP0,anomaly_free_score_p95,0.05680003657746664,4,492
fileweighted,ALL,ALL,IHP1_NCTP0,f1_max,0.6715098251649675,488,492
fileweighted,ALL,ALL,IHP1_NCTP0,auprc,0.25583691862868335,488,492
fileweighted,ALL,ALL,IHP1_NCTP0,vus_pr,0.7513170141084401,488,492
fileweighted,ALL,ALL,IHP1_NCTP0,anomaly_free_fp_rate,1.0,4,492
