aggregation,family,subgroup,arm,metric,value,n_valid,n_total
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,f1_max,0.684375,16,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,auprc,0.3955923773241183,16,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,vus_pr,0.7801937517731317,16,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_mean_excess,0.0261992141821634,1,17
subgroup11,NAB,NAB-AWS,FINAL_DEFAULT,anomaly_free_score_p95,0.0819331378236244,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,f1_max,0.6099702380952381,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,auprc,0.3903425794586588,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,vus_pr,0.7690323465117245,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_mean_excess,0.0331240785653265,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_POSITION,anomaly_free_score_p95,0.1170256859499782,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,f1_max,0.7089285714285714,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,auprc,0.39192623771871493,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,vus_pr,0.7894506819852465,16,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_mean_excess,0.0271517779024019,1,17
subgroup11,NAB,NAB-AWS,MATCH_FINAL_ROW,anomaly_free_score_p95,0.0857029368719172,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,f1_max,0.6423115079365079,16,17
subgroup11,NAB,NAB-AWS,SCALE_P,auprc,0.3591532722803769,16,17
subgroup11,NAB,NAB-AWS,SCALE_P,vus_pr,0.7504343000354902,16,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_mean_excess,0.0363956737746537,1,17
subgroup11,NAB,NAB-AWS,SCALE_P,anomaly_free_score_p95,0.1351360976696014,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,f1_max,0.5929206027890238,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,auprc,0.3204373790579075,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,vus_pr,0.7490237633630812,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_mean_excess,0.0376069665631122,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP0,anomaly_free_score_p95,0.0845236248566733,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,f1_max,0.5831983805668016,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,auprc,0.3140286019559547,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,vus_pr,0.7484715184398129,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_mean_excess,0.0381597189620302,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP0,anomaly_free_score_p95,0.0929253243404327,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,f1_max,0.673397435897436,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,auprc,0.4085118696113841,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,vus_pr,0.783289604168569,16,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_mean_excess,0.0260296672803222,1,17
subgroup11,NAB,NAB-AWS,IHP0_NCTP1,anomaly_free_score_p95,0.0766278415497326,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,f1_max,0.684375,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,auprc,0.3955923773241183,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,vus_pr,0.7801937517731317,16,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_mean_excess,0.0261992141821634,1,17
subgroup11,NAB,NAB-AWS,IHP1_NCTP1,anomaly_free_score_p95,0.0819331378236244,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,f1_max,0.5541666666666667,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,auprc,0.38213831801827436,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,vus_pr,0.7423677370297549,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_mean_excess,0.0100154138555348,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_LEGACY,anomaly_free_score_p95,0.0136492401361465,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,f1_max,0.5541666666666667,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,auprc,0.3826955133407333,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,vus_pr,0.742694610737492,16,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_mean_excess,0.0100153555709218,1,17
subgroup11,NAB,NAB-AWS,CTRL_CLS_NATIVE_W240,anomaly_free_score_p95,0.0136492401361465,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,f1_max,0.5958333333333332,16,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.42486017668771925,16,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.8213949767073534,16,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,1.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,4032.0,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,0.007271804285073,1,17
subgroup11,NAB,NAB-AWS,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,0.0110390409827232,1,17
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,f1_max,0.6547619047619048,5,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,auprc,0.45192665563885737,5,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,vus_pr,0.7225054412357172,5,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,FINAL_DEFAULT,anomaly_free_score_p95,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,f1_max,0.6214285714285714,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,auprc,0.4234711365381747,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,vus_pr,0.7195953318764877,5,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_fp_rate,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_fp_count,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_mean_excess,,0,5
subgroup11,NAB,NAB-AdExchange,MATCH_FINAL_POSITION,anomaly_free_score_p95,,0,5
