contrast_id,candidate,control,formula,metric,point_delta,ci_lower,ci_upper,crosses_zero,proportion_gt_zero,effective_n,n_subgroups,n_boot,seed,shared_plan_sha256,resampling_unit
IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,0.026802777381709296,-0.0020969013561841212,0.06978026241764611,True,0.9584,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,0.022083530901081023,0.006364694223867916,0.040720819477731526,False,0.9986,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,0.010156479246117374,0.002035060676323555,0.019969690940588283,False,0.9956,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,0.04112852089515298,0.0013410581694484887,0.09162149110681432,False,0.9787,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.038602100815209456,0.00030750020796480634,0.07769254206141785,False,0.9769,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,0.0198321870795965,0.004485159630247124,0.03788529058725715,False,0.9963,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,0.046935453761624196,0.0012558148146433008,0.10057887186494015,False,0.9783,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.044834768633760756,0.011951352271293214,0.0789018879515374,False,0.9975,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,0.026722366253594153,0.009772572886532938,0.04565803930919457,False,0.9991,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,f1_max,0.020132676379914907,-0.0264559070506482,0.06311675459769646,True,0.8233,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.02275123773267972,-0.02221583549995748,0.06598487229009838,True,0.8406,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,0.01656588700747677,0.002883226775342142,0.032270331177467006,False,0.9912,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,0.005806932866471206,-0.012338409018585789,0.025805754488194912,True,0.72,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,0.006232667818551288,-0.0047683184817194834,0.018279807187044878,True,0.8548,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,vus_pr,0.006890179173997645,-0.0010390381744596504,0.017205944541476885,True,0.9474,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,f1_max,-0.020995844515238084,-0.06859528409707316,0.011327692294802048,True,0.1449,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,auprc,-0.015850863082529733,-0.02833611413481903,-0.005556482584007198,False,0.001,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,vus_pr,-0.003266300072119728,-0.009165913053062668,0.0020541955006865274,True,0.1178,488,11,10000,2027,F9064102C7BC0FB40D4129B54068783A55A1451C200088EB541727BE27D5913E,11_subgroups_then_paired_series
