series_id,family,subgroup,contrast_id,candidate,control,formula,metric,paired_delta
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,-0.006737159253333985
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,0.003017865452469376
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,0.3508771929824561
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.04554086030489132
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,0.04319652223489001
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,0.3508771929824561
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.009835806538616598
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,0.025584271032785877
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,f1_max,0.3508771929824561
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.016572965791950584
realAWSCloudwatch__ec2_cpu_utilization_24ae8d,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,0.0225664055803165
