group,local_arm,external_paper_arm,metric,local_value,external_paper_value,descriptive_delta,local_value_status,external_value_status,comparison_status,paired_ci_applicable
Art,FINAL_DEFAULT,ViT4TS,F1-max,0.5533730158730158,0.545,0.008373015873015754,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
AWS,FINAL_DEFAULT,ViT4TS,F1-max,0.684375,0.4,0.28437499999999993,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
AdEx,FINAL_DEFAULT,ViT4TS,F1-max,0.6547619047619048,0.615,0.039761904761904776,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
Traf,FINAL_DEFAULT,ViT4TS,F1-max,0.8081632653061224,0.615,0.19316326530612238,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
Tweets,FINAL_DEFAULT,ViT4TS,F1-max,0.7108241758241758,0.597,0.11382417582417581,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
MSL,FINAL_DEFAULT,ViT4TS,F1-max,0.6758490480712702,0.543,0.13284904807127018,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
SMAP,FINAL_DEFAULT,ViT4TS,F1-max,0.7653795805195682,0.726,0.03937958051956825,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
A1,FINAL_DEFAULT,ViT4TS,F1-max,0.6932449494949495,0.614,0.07924494949494953,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
A2,FINAL_DEFAULT,ViT4TS,F1-max,0.9528888888888888,0.892,0.06088888888888877,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
A3,FINAL_DEFAULT,ViT4TS,F1-max,0.6564751489089622,0.614,0.0424751489089622,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
A4,FINAL_DEFAULT,ViT4TS,F1-max,0.4147814108058824,0.565,-0.15021858919411757,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
equal-11,FINAL_DEFAULT,ViT4TS,F1-max,0.6881923989504309,0.612,0.07619239895043095,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_not_paired,False
